;02/11;03/11;04/11;05/11;06/11;07/11;08/11;09/11;10/11;11/11;12/11;13/11;14/11;15/11;16/11;17/11;18/11;19/11;20/11;21/11;22/11;23/11;24/11;25/11
14;• День памяти преподобного Гавриила Самтаврийского;• День ракетных войск и артиллерии - Украина;• День любви - Египет;• Праздник матерей «Ахой Аштами» (Ahoi Ashtami) - Индия;• День отдыха (Recreation Day) - Австралия;• День памяти праведной Тавифы Иоппийской;• День солидарности с интерсекс-людьми (Intersex Day of Solidarity);• День памяти преподобного Нестора Летописца;• День памяти святителя Димитрия, митрополита Ростовского;• День работника восстановительного поезда;• День памяти священномученика Зиновия и мученицы Зиновии;• День памяти святых апостолов от 70-ти Стахия, Амплия, Урвана, Наркисса, Апеллия и Аристовула;• День юных читателей (National Young Reader`s Day) - США;• Европейский день музыкальной терапии (European Music Therapy Day);• День общественных организаций (Social Enterprise Day);• День домашнего хлеба (National Homemade Bread Day) - США;• День оккультизма (Occult Day) - США;• Всемирный день гражданина (World Citizen Day);• День памяти святого мученика Иерона и иных с ним в Мелитине пострадавших;• День красной варежки (National Red Mitten Day) - Канада;• День борьбы с насилием (National Stop the Violence Day) - США;• День святого Георгия (Гиоргоба) - Грузия;• День памяти святого мученика Викентия Августопольского;• Католический праздник святой Екатерины (Feast of Saint Catherine of Alexandria)
15;• День памяти великомученика Артемия Антиохийского;• День победы (Victory Day) - Мальдивы;• День использования здравого смысла (Use Your Common Sense Day) - США;• День португальского языка (Dia Nacional da Lingua Portuguesa) - Бразилия;• День баскетбола (National Basketball Day) - США;• День памяти святых мучеников Маркиана и Мартирия;• Всемирный день градостроительства, Всемирный день урбанизма (World Town Planning Day, World Urbanism Day);• День памяти святого мученика Нестора Солунского;• День памяти святителя Арсения Первого, архиепископа Сербского;• День липецкого трамвая;• Католический праздник святого Иосафата (Feast of Saint Josaphat);• Католический праздник святого Аббона Флёрийского (Saint Abbo of Fleury Feast Day);• День «Заблокируйте это» (National Block It Out Day) - США;• Праздник Шуйско-Смоленской иконы Божией Матери;• День глинтвейна;• Всемирный день мира (World Peace Day) - США;• День лукового супа-пюре (National Vichyssoise Day) - США;• Всемирный день профилактики жестокого обращения с детьми (World Day for the Prevention of Child Abuse);• День памяти пpеподобного Лазаря Галисийского;• День студента (Dia del Estudiante) - Венесуэла;• День посадки деревьев (Arbor Day) - Британские Виргинские острова;• День Геродота - Греция;• День семьи (Family Day) - Палау;• День памяти жертв голодоморов - Украина
16;• Католический день всех усопших верных, День всех душ (All Souls Day);• День домохозяйки и домохозяина (National Homemaker Day, National Housewife Day) - США;• День домашнего пивоварения (Learn to Homebrew Day) - США;• День работника социальной сферы - Украина;• День саксофона (National Saxophone Day) - США;• Католический праздник святого Диего из Алькалы (Feast of Saint Didacus of Alcala);• День памяти великомученика Димитрия Солунского;• День чикенбургера (National Fried Chicken Sandwich Day) - США;• День памяти преподобного Иова Почаевского;• День памяти святого преподобного Авраамия Ростовского;• День «Счастливого часа» (Happy Hour Day) - США;• День «Обнимите музыканта» (National Hug a Musician Day) - США;• День американского плюшевого мишки (National American Teddy Bear Day) - США;• День памяти мучеников Акиндина, Пигасия, Аффония, Елпидифора, Анемподиста;• День памяти священномучеников Акепсима, Иосифа и Аифала;• День пахлавы (National Baklava Day) - США;• День Государственного флага - Узбекистан;• День памяти святителя Германа, архиепископа Казанского;• День «Отплатите родителям» (National Pay Back Your Parents Day) - США;• День начинки (National Stuffing Day) - США;• День «Поехали кататься!» (Go For A Ride Day) - США;• День благодарности труду (Kinro-Kanshya no Hi) - Япония;• День кукурузы (National Maize Day) - США;• День «Ешьте с другом» (National Eat With a Friend Day) - США
17;• День «Мужчины готовят ужин» (National Men Make Dinner Day) - США;• День независимости (Dominica`s Independence Day) - Доминика;• День конфет (National Candy Day) - США;• День разведывательных войск - Армения;• День «Девушки изучают программирование» (National Ladies Learning Code Day) - Канада;• День «Обнимите медведя» (Hug a Bear Day) - США;• День великого и страшного землетрясения в Царьграде;• Всемирный день свободы (World Freedom Day) - США;• День пшеницы (Dia do Trigo) - Бразилия;• День памяти преподобномученицы Анастасии Римляныни;• День пиццы со всем подряд кроме анчоусов (National Pizza With Everything Except Anchovies Day) - США;• День Барака Обамы в штате Алабама (Barack Obama Day) - США;• День острого соуса гуакамоле (National Spicy Guacamole Day) - США;• Католический праздник святого Альберта Великого (Fest of Saint Albert the Great);• День памяти преподобного Акепсима Антиохийского;• День сливочного масла (National Butter Day) - США;• День независимости - Латвия;• День памяти преподобного Луки Тавроменийского;• День абсурда (National Absurdity Day) - США;• Праздник Девы Марии делла Салюте (Festa della Madonna della Salute) - Италия;• День «Создайте свою собственную страну» (National Start Your Own Country Day) - США;• День инженера-электрика (Dia do Engenheiro Eletricista) - Бразилия;• День вашего уникального таланта (Celebrate Your Unique Talent Day) - США;• День игры с папой (National Play Day With Dad) - США
18;• День колготок - Япония;• День культуры (Bunka-no Hi) - Япония;• День сосиски и квашеной капусты (Sausage and Kraut Day) - США;• Ночь Гая Фокса, Ночь костров (Guy Fawkes Night, Bonfire Night) - Великобритания;• День борьбы с малярией (Malaria Day in the Americas) - Америка;• День таджикского театра - Таджикистан;• День болвана (National Dunce Day) - США;• Фестиваль оливок (Las Jornadas del Olivar y el Aceite) - Испания;• День ванильного кекса (National Vanilla Cupcake Day) - США;• День памяти преподобного Авраамия Затворника;• Праздник огня «Дивали» (Diwali) - Индия;• День рождения наследника престола (Heir to the Throne Birthday) - Тувалу;• День операционной медсестры (Operating Room Nurse Day) - США;• День очистки холодильника (Clean Out Your Refrigerator Day) - США;• День памяти праведной Снандулии Персидской;• День Русалочки (The Little Mermaid Day) - США;• День усыновления (National Adoption Day) - США;• День памяти святителя Павла I, архиепископа Константинопольского;• День свадьбы королевы Елизаветы II - Великобритания;• День медсестры (Dia de la Enfermeria) - Аргентина;• День учителя (Dia del Maestro) - Коста-Рика;• День благодарения (Thanksgiving Day) - США, Пуэрто-Рико, Гуам, Микронезия;• День «Всегда пожалуйста» (You`re Welcome Giving Day) - США;• День учителя (National Teacher`s Day) - Индонезия
19;• День памяти предков (Дзяды) - Беларусь;• День рождения Султана Перака (Birthday of the Sultan of Perak) - Малайзия;• День дегустации вина (National Wine Tasting Day) - США;• День банковского перевода (Bank Transfer Day) - США;• День начос (National Nachos Day) - США;• День горького шоколада с миндалём (National Bittersweet Chocolate with Almonds Day) - США;• День капучино (National Cappuccino Day) - США;• Судьбоносный день, День падения Берлинской стены (Schicksalstag) - Германия;• День незабудок (National Forget-Me-Not Day) - США;• Католический праздник святого Мартина Турского (Feast of Saint Martin of Tours);• Праздник «Кали Пуджа» (Kali Puja) - Индия;• День бухгалтера (Dia del Contador Publico) - Эквадор;• День книги - Иран;• День мира (National Peace Day) - Кот-д`Ивуар;• Католический праздник святой Маргариты Шотландской (Feast of Saint Margaret of Scotland);• День недружелюбия, День удаления из друзей (National Unfriend Day) - США;• День сержанта ВСУ - Украина;• День памяти преподобного Варлаама Хутынского;• День арахисово-сливочной помадки (Peanut Butter Fudge Day) - США;• День Десантно-штурмовых войск - Украина;• День клюквенной закуски (National Cranberry Relish Day) - США;• День инженера (Dia Nacional do Engenheiro) - Португалия;• Женский день - Самоа;• День напоминания о покупках (Shopping Reminder Day) - США
20;• День фаршированных яиц (National Deviled Egg Day) - США;• День независимости Куэнки (Independence of Cuenca) - Эквадор;• День духовки «Лёгкая выпечка» (National Easy-Bake Oven Day) - США;• День внешней разведки - Казахстан;• День трудовой благодарности (Job Action Day) - США;• День шоколадного липкого пирога (Kladdkakans Dag) - Швеция;• День Победы - Азербайджан;• День греческого йогурта (National Greek Yogurt Day) - США;• День молодёжи - Кыргызстан;• День холостяков (Singles Day) - Китай;• День отца (Hari Ayah) - Индонезия;• День памяти 100 тысяч мучеников Тбилиси - Грузия;• День колумбийской женщины (Colombian Women`s Day) - Колумбия;• День посадки деревьев (National Tree Planting Day) - Шри-Ланка;• Праздник молодого вина «Божоле нуво» (Beaujolais Nouveau Day) - Франция;• День шуток на ферме (National Farm Joke Day) - США;• День семейного волонтёра (Family Volunteer Day) - США;• День супа (Tag der Suppe) - Германия;• День святого Георгия (Джеоргуыба) - Южная Осетия;• День гомеопатии (Dia Nacional da Homeopatia) - Бразилия;• День «Один на один с фартуком» (National Tie One On Day) - США;• День эспрессо (National Espresso Day) - США;• День зубной нити (National Flossing Day) - США;• День парфе (National Parfait Day) - США
21;• День «кэшбэка» (National Cash Back Day) - США;• День флага (UAE Flag Day) - ОАЭ;• День гигантского омлета (Giant Omelette Celebration) - США;• День флага - Сан-Томе и Принсипи;• День Конституции (Dominican Republic`s Constitution Day) - Доминикана;• День новой эры, День обновления (New Era Day) - Тунис;• День достаточного количества времени (National Ample Time Day) - США;• Праздник Девы Мари Альмуденской (Fiesta de la Almudena) - Испания;• День милиции - Таджикистан;• День «метал-музыки» (National Metal Day, Nigel Tufnel Day) - США;• День отца - Эстония, Финляндия, Норвегия, Швеция, Исландия;• День «охотниц» на мужчин, День Сэди Хокинс (Sadie Hawkins Day) - США;• День детей «Бал дивас» (Bal Divas) - Индия;• День пряного печенья (Spicy Hermit Cookie Day) - США;• День моря (Dia Nacional do Mar) - Португалия;• День пешеходного туризма, День похода (National Hiking Day, National Take a Hike Day) - США;• День памяти о Вуковарских событиях - Хорватия;• День работников сельского хозяйства - Украина, Казахстан, Беларусь;• День 20-N - Испания;• День ложного признания (False Confession Day) - США;• Праздник святой Сесилии (Fiesta de Santa Cecilia) - Мексика;• День поста и духовных практик «Уттхана Экадаши» (Utthana Ekadashi) - Индия;• День гордости - Монголия;• Суббота малого бизнеса (Small Business Saturday) - США
22;• День мёртвых (Day of the Dead) - Латинская Америка;• День инженерных войск - Украина;• День куриной леди (National Chicken Lady Day) - США;• День революции, День Негроса (Negros Revolution Day) - Филиппины;• День шведской культуры (Svenska dagen) - Финляндия;• День осведомлённости о лимфомах у собак (National Canine Lymphoma Awareness Day) - США;• День журналиста - Китай;• День «Сходите в художественный музей» (Go to an Art Museum Day) - США;• День полиции - Куба;• День осведомлённости о гомункулах (National Homunculus Awareness Day) - США;• День французского сэндвича (National French Dip Day) - США;• День посадки деревьев - Северная Македония;• День движения перестройки (Readjustment Movement Day) - Гвинея-Бисау;• День вина «Зинфандель» (National Zinfandel Day) - США;• День «Используйте меньше вещей» (Use Less Stuff Day) - США;• День замещающего учителя (Substitute Educators Day) - США;• День сражения при Вертриере (Battle of Vertieres Day) - Гаити;• День игры «Монополия» (National Play Monopoly Day) - США;• День военно-морского флота (Royal Thai Navy Day) - Таиланд;• День вооружённых сил - Греция;• День независимости (Lebanese Independence Day) - Ливан;• День дорожной полиции - Казахстан;• День завоевания друзей и оказания влияния на людей (Win Friends and Influence People Day) - США;• День железнодорожника (Dzien Kolejarza) - Польша
23;• День штата Огайо (National Ohio Day) - США;• День независимости (Micronesia`s Independence Day) - Микронезия;• День здоровья - Туркменистан;• День Пуно (Puno Day) - Перу;• День Конституции - Таджикистан;• Дни истории и памяти предков - Кыргызстан;• День родителя как учителя (National Parents as Teachers Day) - США;• День поста и духовных практик «Рама Экадаши» (Rama Ekadashi) - Индия;• День героев (Hari Pahlawan) - Индонезия;• День красной помады (Red Lipstick Day) - США;• День виноградаря и винодела - Украина;• День «Пустите слух» (Start a Rumor Day) - США;• День мобильной бригады (Mobile Brigade Day) - Индонезия;• День «Я люблю писать» (I Love to Write Day) - США;• День белорусской куклы - Беларусь;• День военно-медицинского работника - Армения;• Национальный праздник (National Day of Oman) - Оман;• День пожелания плохого дня (Have a Bad Day Day) - США;• День революции (Dia de la Revolucion) - Мексика;• День вооружённых сил - Бангладеш;• День банковского работника - Армения;• День президентов - Микронезия;• День коричневых локонов (Brownielocks Day) - США;• День независимости (Onafhankelijkheidsdag) - Суринам
24;• День государственности штатов Северная и Южная Дакота (North Dakota and South Dakota Statehood Day) - США;• День перьевой ручки (Fountain Pen Day) - США;• Международный фестиваль духовной музыки и искусства (Festival Internazionale di Musica e Arte Sacra) - Ватикан;• День китайской еды на вынос (National Chinese Take-out Day) - США;• День Зелёного марша (Green March Day) - Марокко;• День информации и печати - Кыргызстан;• День подстрекательства и каламбуров (Abet and Aid Punsters Day) - США;• День мясного «хлеба» (National Scrapple Day) - США;• День приднестровской милиции - ПМР;• День шоколадных палочек (Pepero Day) - Япония, Корея;• Международный фестиваль воздушных змеев (Fuerteventura International Kite Festival) - Испания;• День образования (Dia Nacional de la Educacion) - Эквадор;• День Добруджи (Dobruja Day) - Румыния;• День барабанщика (National Drummer Day) - США;• День фаст-фуда (National Fast Food Day) - США;• День кыргызского кино - Кыргызстан;• День независимости (Morocco`s Independence Day) - Марокко;• День флага (Dia da Bandeira) - Бразилия;• День имени своего компьютера (Name Your PC Day) - США;• День предпринимателя (National Entrepreneur`s Day) - США;• День работника прокуратуры - Кыргызстан;• День военно-морского флота (Dia de la Armada) - Мексика;• День «Пообедайте над кухонной раковиной» (Dine Over Your Kitchen Sink Day) - США;• День регби (National Rugby Day) - США
25;• День «Планируйте свою эпитафию» (Plan Your Epitaph Day) - США;• «Пятница Джерси» (National Jersey Friday) - США;• День железнодорожника - Украина;• День коммерческого телевещания (Commercial TV Broadcast Day) - США;• День банковского работника (Dia del Empleado Bancario) - Аргентина;• День спортивного журналиста (Dia del Periodista Deportivo) - Аргентина;• День черепов (Dia de los Natitas) - Боливия;• День изобретателя (Tag der Erfinder) - Швейцария, Германия, Австрия;• День памяти Ататюрка (Ataturk Memorial Day) - Турция;• Фестиваль белых трюфелей (Alba White Truffle International Festival) - Италия;• День здоровья (Hari Kesehatan Nasional) - Индонезия;• День памяти (Remembrance Day) - Каймановы острова;• Именины у Дениса, Ивана, Александра, Дмитрия, Сергея, Ульяны;• День хлопьев с отрубями и изюмом (National Raisin Bran Cereal Day) - США;• День «Устройте вечеринку с вашим медведем» (Have a Party with Your Bear Day) - США;• День электронной поздравительной открытки (Electronic Greeting Card Day) - США;• Именины у Тихона, Григория, Евпсихия, Галактиона;• День газированных напитков с кофеином (Carbonated Beverage with Caffeine Day) - США;• День сознания темнокожих (Dia da Consciencia Negra) - Бразилия;• День общего договора о мире (Dayton Peace Agreement Day) - Босния и Герцеговина;• День албанского алфавита (Albanian Alphabet Day) - Албания;• День семейной истории здоровья (National Family Health History Day) - США;• Пятница без меха (Fur Free Friday) - США;• День государственности (Dan drzavnosti) - Босния и Герцеговина
